uuid,rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type
ad0de3ab-7c78-4399-a85d-b296dab8386c,1,T-Series,2.45E+08,2.28E+11,Music,T-Series,20082,India,IN,Music
a67fcddd-c3fe-4c96-ae64-e42911f58c90,2,YouTube Movies,1.70E+08,0,Film & Animation,youtubemovies,1,United States,US,Games
eceb7c76-ec55-48b3-84b4-bb9c2c4777fe,3,MrBeast,1.66E+08,2.84E+10,Entertainment,MrBeast,741,United States,US,Entertainment
c4c0b565-8775-49ce-b21b-6fedb98fa189,4,Cocomelon - Nursery Rhymes,1.62E+08,1.64E+11,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education
06dbcd0b-bce4-4738-9e4e-6c423a555f51,5,SET India,1.59E+08,1.48E+11,Shows,SET India,116536,India,IN,Entertainment
54090535-b3d1-4495-854c-f9e80579f84a,6,Music,1.19E+08,0,nan,Music,0,nan,nan,Music
c4c30404-54b3-4106-8412-3a6154edd129,7,??? Kids Diana Show,1.12E+08,9.32E+10,People & Blogs,??? Kids Diana Show,1111,United States,US,Entertainment
1f1824dc-3968-497b-8897-14e46cb04326,8,PewDiePie,1.11E+08,2.91E+10,Gaming,PewDiePie,4716,Japan,JP,Entertainment
4e6dd1f3-59f6-4872-b463-d8f3cad60d0e,9,Like Nastya,1.06E+08,9.05E+10,People & Blogs,Like Nastya Vlog,493,Russia,RU,People
188e2127-55a1-4b97-a6c2-d3c91660a45a,10,Vlad and Niki,98900000,7.72E+10,Entertainment,Vlad and Niki,574,United States,US,Entertainment
