uuid,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,fk
76d2bf3b-0480-4e42-9c02-8911df3b493b,1,1,1,2.26E+09,564600,9000000,6800000,1.08E+08,2000000,2006,Mar,13,28.1,1.37E+09,5.36,4.71E+08,20.59368,78.96288,ad0de3ab-7c78-4399-a85d-b296dab8386c
e68abebb-6c1f-460d-bc11-8f30a2cb45ec,4055159,7670,7423,12,0,0.05,0.04,0.58,nan,2006,Mar,5,88.2,3.28E+08,14.7,2.71E+08,37.09024,-95.7129,a67fcddd-c3fe-4c96-ae64-e42911f58c90
62d48f31-edac-4425-8df4-1291f0a41473,48,1,1,1.35E+09,337000,5400000,4000000,64700000,8000000,2012,Feb,20,88.2,3.28E+08,14.7,2.71E+08,37.09024,-95.7129,eceb7c76-ec55-48b3-84b4-bb9c2c4777fe
9540c98f-38f7-4433-ace1-d46f27ad32d7,2,2,1,1.98E+09,493800,7900000,5900000,94800000,1000000,2006,Sep,1,88.2,3.28E+08,14.7,2.71E+08,37.09024,-95.7129,c4c0b565-8775-49ce-b21b-6fedb98fa189
8609e096-4bb8-4d5d-bf8d-1b687e2db836,3,2,2,1.82E+09,455900,7300000,5500000,87500000,1000000,2006,Sep,20,28.1,1.37E+09,5.36,4.71E+08,20.59368,78.96288,06dbcd0b-bce4-4738-9e4e-6c423a555f51
c5e53d31-1632-4e23-b46f-385b7ac67820,4057944,nan,nan,nan,0,0,0,0,nan,2013,Sep,24,nan,nan,nan,nan,nan,nan,54090535-b3d1-4495-854c-f9e80579f84a
883159ab-741e-40b0-ba75-491d7223ca7e,5,3,3,7.32E+08,182900,2900000,2200000,35100000,nan,2015,May,12,88.2,3.28E+08,14.7,2.71E+08,37.09024,-95.7129,c4c30404-54b3-4106-8412-3a6154edd129
017821ed-b774-441f-a823-e67fd02db70a,44,1,4,39184000,9800,156700,117600,1900000,nan,2010,Apr,29,63.2,1.26E+08,2.29,1.16E+08,36.20482,138.2529,1f1824dc-3968-497b-8897-14e46cb04326
6ba63e5a-146b-42d6-a425-313fc4f68fe3,630,5,25,48947000,12200,195800,146800,2300000,100000,2016,Jan,14,81.9,1.44E+08,4.59,1.08E+08,61.52401,105.3188,4e6dd1f3-59f6-4872-b463-d8f3cad60d0e
bb821fd5-1e4d-4f9d-810f-91f939ccbfb1,8,5,6,5.81E+08,145100,2300000,1700000,27900000,600000,2018,Apr,23,88.2,3.28E+08,14.7,2.71E+08,37.09024,-95.7129,188e2127-55a1-4b97-a6c2-d3c91660a45a
